ID,Email,Full Name,Status,Quizzes Taken,Average Score,Last Activity,Roles
2,rahul699@example.com,Rahul Sharma,Active,42,37.04%,2025-04-01,student
3,priya835@example.com,Priya Patel,Active,27,39.04%,2025-03-25,student
4,amit389@example.com,Amit Kumar,Active,23,39.11%,2025-03-28,student
6,vikram795@example.com,Vikram Verma,Active,22,39.29%,2025-03-25,student
7,neha799@example.com,Neha Gupta,Active,26,38.89%,2025-03-25,student
10,arjun564@example.com,Arjun Reddy,Active,23,38.6%,2025-03-26,student
11,pooja252@example.com,Pooja Mehta,Active,24,39.03%,2025-03-26,student
12,sanjay875@example.com,Sanjay Joshi,Active,27,39.12%,2025-03-29,student
13,divya145@example.com,Divya Malhotra,Active,21,38.98%,2025-03-26,student
14,nikhil650@example.com,Nikhil Jain,Active,27,39.01%,2025-03-25,student
16,ajay673@example.com,Ajay Tiwari,Active,25,38.93%,2025-03-29,student
17,rahul843@example.com,Rahul Sharma,Active,29,38.85%,2025-03-25,student
18,priya204@example.com,Priya Patel,Active,25,38.73%,2025-03-25,student
20,sneha592@example.com,Sneha Singh,Active,30,38.59%,2025-03-25,student
21,vikram963@example.com,Vikram Verma,Active,25,38.77%,2025-03-25,student
23,rajesh998@example.com,Rajesh Khanna,Active,24,38.51%,2025-03-26,student
26,pooja759@example.com,Pooja Mehta,Active,25,38.65%,2025-03-26,student
30,ritu958@example.com,Ritu Agarwal,Active,25,38.99%,2025-03-25,student
